cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu_total,ram
0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,12.7,2463383552
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.6,2465796096
1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,12.7,2483347456
0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,12.7,2458079232
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.6,2460389376
0.0,0.0,0.0,1.0,0.0,1.0,100.0,0.0,12.8,2461913088
0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,12.7,2463657984
0.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,12.6,2465054720
0.0,0.0,0.0,1.0,1.0,0.0,100.0,1.0,12.6,2469625856
0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,12.7,2498068480
1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,12.6,2526638080
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.5,2554318848
1.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,12.8,2573078528
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.4,2516025344
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.7,2532352000
0.0,0.0,0.0,2.0,0.0,0.0,100.0,1.0,12.7,2548985856
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.7,2565619712
0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0,12.7,2515972096
0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,12.6,2517368832
0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,12.6,2519019520
1.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,12.8,2520543232
0.0,0.0,0.0,1.0,1.0,0.0,100.0,1.0,12.7,2522066944
0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,12.6,2548981760
0.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0,12.7,2565742592
2.0,42.0,17.0,0.0,1.0,0.0,36.0,60.4,19.9,3110592512
92.2,58.4,100.0,66.0,2.0,42.0,1.0,32.4,49.3,4331208704
100.0,0.0,100.0,100.0,0.0,100.0,1.0,0.0,50.2,4332130304
59.6,0.0,100.0,100.0,41.0,100.0,1.0,1.0,50.4,4332130304
0.0,1.0,100.0,100.0,100.0,100.0,1.0,0.0,50.2,4332511232
0.0,1.0,100.0,100.0,100.0,100.0,1.0,1.0,50.4,4332511232
0.0,1.0,100.0,100.0,100.0,100.0,1.0,0.0,50.3,4332511232
0.0,0.0,100.0,100.0,100.0,100.0,1.0,0.0,50.2,4332511232
1.0,1.0,100.0,100.0,100.0,100.0,1.0,0.0,50.2,4332511232
0.0,1.0,100.0,100.0,100.0,100.0,1.0,0.0,50.3,4331073536
0.0,1.0,100.0,100.0,100.0,100.0,2.9,1.0,50.6,4331073536
0.0,0.0,100.0,100.0,100.0,100.0,1.0,0.0,50.2,4331073536
1.0,1.0,100.0,100.0,100.0,100.0,1.0,0.0,50.4,4331073536
0.0,1.0,100.0,100.0,100.0,100.0,0.0,1.0,50.2,4331073536
0.0,0.0,100.0,100.0,100.0,100.0,2.0,0.0,50.3,4331073536
0.0,0.0,100.0,100.0,100.0,100.0,2.0,1.0,50.2,4331073536
